pm-backend-api  | 2025-12-24 02:51:14,497 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.497926] [MESSAGES-STREAM] Finished processing message chunk
pm-backend-api  | 2025-12-24 02:51:14,497 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.497963] 📨 [MESSAGES-STREAM] Message chunk arrived: type=AIMessageChunk, agent_path=('planner:1168dd5e-7651-b23c-8ac4-48de87754bfe',), chunk_name=None, has_tool_calls=False, content_preview=" function..."
pm-backend-api  | 2025-12-24 02:51:14,497 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.497980] [MESSAGES-STREAM] About to process message chunk...
pm-backend-api  | 2025-12-24 02:51:14,497 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.497996] [PROCESS-MESSAGE] _process_message_chunk started for agent=planner, message_type=AIMessageChunk
pm-backend-api  | 2025-12-24 02:51:14,498 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.498016] [STREAM] YIELDING message_chunk event: agent=planner, messageId=run--30bb0b97-3603-4978-949c-834acdde07e3, has_content=True
pm-backend-api  | 2025-12-24 02:51:14,498 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.498134] [MAKE-EVENT] Calling chat_stream_message for event_type=message_chunk, thread_id=vaMmWggA
pm-backend-api  | 2025-12-24 02:51:14,498 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.498210] [MAKE-EVENT] chat_stream_message completed, returning event string
pm-backend-api  | 2025-12-24 02:51:14,498 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.498319] [STREAM] message_chunk event yielded
pm-backend-api  | 2025-12-24 02:51:14,498 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.498535] [MESSAGES-STREAM] Finished processing message chunk
pm-backend-api  | 2025-12-24 02:51:14,507 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.507845] 📨 [MESSAGES-STREAM] Message chunk arrived: type=AIMessageChunk, agent_path=('planner:1168dd5e-7651-b23c-8ac4-48de87754bfe',), chunk_name=None, has_tool_calls=False, content_preview=".",
pm-backend-api  | ..."
pm-backend-api  | 2025-12-24 02:51:14,507 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.507933] [MESSAGES-STREAM] About to process message chunk...
pm-backend-api  | 2025-12-24 02:51:14,507 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.507960] [PROCESS-MESSAGE] _process_message_chunk started for agent=planner, message_type=AIMessageChunk
pm-backend-api  | 2025-12-24 02:51:14,508 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.507990] [STREAM] YIELDING message_chunk event: agent=planner, messageId=run--30bb0b97-3603-4978-949c-834acdde07e3, has_content=True
pm-backend-api  | 2025-12-24 02:51:14,508 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.508035] [MAKE-EVENT] Calling chat_stream_message for event_type=message_chunk, thread_id=vaMmWggA
pm-backend-api  | 2025-12-24 02:51:14,508 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.508061] [MAKE-EVENT] chat_stream_message completed, returning event string
pm-backend-api  | 2025-12-24 02:51:14,508 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.508136] [STREAM] message_chunk event yielded
pm-backend-api  | 2025-12-24 02:51:14,508 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.508177] [MESSAGES-STREAM] Finished processing message chunk
pm-backend-api  | 2025-12-24 02:51:14,508 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.508224] 📨 [MESSAGES-STREAM] Message chunk arrived: type=AIMessageChunk, agent_path=('planner:1168dd5e-7651-b23c-8ac4-48de87754bfe',), chunk_name=None, has_tool_calls=False, content_preview=" ..."
pm-backend-api  | 2025-12-24 02:51:14,508 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.508246] [MESSAGES-STREAM] About to process message chunk...
pm-backend-api  | 2025-12-24 02:51:14,508 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.508262] [PROCESS-MESSAGE] _process_message_chunk started for agent=planner, message_type=AIMessageChunk
pm-backend-api  | 2025-12-24 02:51:14,508 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.508289] [STREAM] YIELDING message_chunk event: agent=planner, messageId=run--30bb0b97-3603-4978-949c-834acdde07e3, has_content=True
pm-backend-api  | 2025-12-24 02:51:14,508 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.508321] [MAKE-EVENT] Calling chat_stream_message for event_type=message_chunk, thread_id=vaMmWggA
pm-backend-api  | 2025-12-24 02:51:14,508 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.508339] [MAKE-EVENT] chat_stream_message completed, returning event string
pm-backend-api  | 2025-12-24 02:51:14,508 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.508476] [STREAM] message_chunk event yielded
pm-backend-api  | 2025-12-24 02:51:14,508 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.508571] [MESSAGES-STREAM] Finished processing message chunk
pm-backend-api  | 2025-12-24 02:51:14,528 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.528491] 📨 [MESSAGES-STREAM] Message chunk arrived: type=AIMessageChunk, agent_path=('planner:1168dd5e-7651-b23c-8ac4-48de87754bfe',), chunk_name=None, has_tool_calls=False, content_preview=" "..."
pm-backend-api  | 2025-12-24 02:51:14,528 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.528699] [MESSAGES-STREAM] About to process message chunk...
pm-backend-api  | 2025-12-24 02:51:14,528 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.528753] [PROCESS-MESSAGE] _process_message_chunk started for agent=planner, message_type=AIMessageChunk
pm-backend-api  | 2025-12-24 02:51:14,529 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.529039] [STREAM] YIELDING message_chunk event: agent=planner, messageId=run--30bb0b97-3603-4978-949c-834acdde07e3, has_content=True
pm-backend-api  | 2025-12-24 02:51:14,529 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.529148] [MAKE-EVENT] Calling chat_stream_message for event_type=message_chunk, thread_id=vaMmWggA
pm-backend-api  | 2025-12-24 02:51:14,529 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.529186] [MAKE-EVENT] chat_stream_message completed, returning event string
pm-backend-api  | 2025-12-24 02:51:14,529 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.529283] [STREAM] message_chunk event yielded
pm-backend-api  | 2025-12-24 02:51:14,529 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.529317] [MESSAGES-STREAM] Finished processing message chunk
pm-backend-api  | 2025-12-24 02:51:14,529 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.529358] 📨 [MESSAGES-STREAM] Message chunk arrived: type=AIMessageChunk, agent_path=('planner:1168dd5e-7651-b23c-8ac4-48de87754bfe',), chunk_name=None, has_tool_calls=False, content_preview="title..."
pm-backend-api  | 2025-12-24 02:51:14,529 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.529378] [MESSAGES-STREAM] About to process message chunk...
pm-backend-api  | 2025-12-24 02:51:14,529 - backend.server.app - INFO - [vaMmWggA76YS7_5B0kTt3] ⏰ [2025-12-24T02:51:14.529395] [PROCESS-MESSAGE] _process_message_chunk started for agent=planner, message_type=AIMessageChunk
